user_id,age,travel_type,region_visited,spending_usd,num_reviews,days_trip,social_shares,satisfaction_score,would_recommend
U0189,26,Negocios,Costa,463.81,13,13,5,5.0,1
U0190,54,Familiar,Selva,399.66,9,12,4,4.47,1
U0191,50,Turismo,Costa,490.69,6,14,1,4.51,0
U0192,59,Turismo,Costa,185.59,15,3,0,3.65,1
U0193,61,Turismo,Costa,219.31,16,2,3,3.82,1
U0194,41,Turismo,Costa,229.63,4,2,4,3.61,1
U0195,32,Negocios,Sierra,477.64,17,14,4,4.88,1
U0196,49,Turismo,Costa,462.48,9,12,1,4.66,1
U0197,49,Negocios,Sierra,237.02,12,5,2,3.1,0
U0198,41,Familiar,Costa,429.04,19,11,1,5.0,1
U0199,58,Familiar,Costa,472.74,12,14,1,4.88,1
U0200,29,Familiar,Sierra,176.17,6,3,0,3.69,0
U0201,56,Turismo,Costa,99.09,12,2,4,3.96,1
U0202,19,Turismo,Sierra,220.88,9,7,3,4.32,1
U0203,20,Negocios,Costa,150.68,5,5,1,3.58,0
U0204,54,Familiar,Sierra,415.72,3,11,5,4.85,1
U0205,34,Turismo,Costa,444.83,2,14,5,4.62,1
U0206,19,Turismo,Selva,443.21,8,13,3,4.45,1
U0207,19,Turismo,Costa,318.73,10,8,7,4.06,1
U0208,45,Negocios,Selva,445.71,15,12,1,3.97,1
U0209,40,Turismo,Costa,336.08,9,7,3,4.25,1
U0210,54,Negocios,Sierra,285.46,10,6,5,3.96,1
U0211,49,Familiar,Costa,399.58,11,11,2,4.65,1
U0212,50,Turismo,Selva,446.02,9,13,2,4.87,1
U0213,18,Negocios,Costa,530.66,14,14,2,4.83,1
U0214,36,Turismo,Costa,338.62,5,13,5,4.34,1
U0215,19,Negocios,Costa,405.32,9,13,2,4.82,1
U0216,61,Turismo,Costa,482.11,4,13,1,4.35,1
U0217,43,Familiar,Costa,272.05,2,3,3,4.47,0
U0218,49,Negocios,Selva,304.67,19,6,3,3.79,1
U0219,23,Familiar,Selva,362.98,1,10,1,4.82,1
U0220,49,Negocios,Costa,465.27,1,10,5,5.0,1
U0221,21,Negocios,Selva,225.55,12,3,2,3.79,1
U0222,28,Familiar,Sierra,329.29,11,8,4,4.11,1
U0223,34,Turismo,Costa,461.0,1,11,5,4.3,1
U0224,55,Negocios,Sierra,284.87,14,5,4,3.39,1
U0225,41,Turismo,Sierra,508.06,11,14,5,5.0,1
U0226,22,Turismo,Selva,513.92,7,14,4,4.69,1
U0227,51,Familiar,Costa,220.25,2,4,4,3.96,1
U0228,23,Turismo,Sierra,505.02,15,12,2,4.57,1
U0229,39,Familiar,Costa,71.33,8,2,6,4.07,1
U0230,28,Familiar,Costa,139.89,15,4,0,4.21,1
U0231,33,Turismo,Costa,382.62,8,12,1,4.7,1
U0232,50,Pareja,Selva,351.02,10,10,0,4.39,0
U0233,26,Turismo,Selva,390.32,19,10,2,4.33,1
U0234,23,Pareja,Sierra,293.28,3,8,1,4.08,1
U0235,33,Negocios,Sierra,238.28,14,4,2,3.74,0
U0236,46,Turismo,Costa,450.81,9,14,8,4.8,1
U0237,20,Turismo,Costa,339.1,9,4,5,4.3,1
U0238,37,Turismo,Costa,220.85,6,5,2,4.0,1
U0239,53,Turismo,Costa,243.6,8,8,1,3.82,1
U0240,36,Familiar,Sierra,383.7,11,8,2,4.63,1
U0241,43,Negocios,Sierra,403.15,8,13,5,4.53,1
U0242,20,Negocios,Costa,434.27,12,13,5,4.9,1
U0243,36,Familiar,Costa,184.35,10,3,2,3.99,1
U0244,37,Turismo,Costa,475.71,4,13,4,5.0,1
U0245,49,Pareja,Costa,214.6,16,6,1,3.91,1
U0246,24,Familiar,Selva,187.79,6,8,1,4.29,0
U0247,58,Pareja,Sierra,392.54,9,8,1,4.05,1
U0248,50,Familiar,Selva,317.91,5,7,5,4.17,1
U0249,57,Turismo,Costa,448.04,6,11,2,4.83,1
U0250,56,Negocios,Costa,457.52,17,11,4,4.57,1
U0251,35,Familiar,Costa,393.03,17,13,4,5.0,1
U0252,57,Turismo,Selva,353.01,13,9,5,4.33,1
U0253,18,Negocios,Sierra,264.15,17,4,4,3.74,1
U0254,28,Turismo,Costa,189.02,14,2,3,3.92,1
U0255,45,Pareja,Sierra,223.27,2,4,3,3.5,1
U0256,42,Turismo,Costa,405.95,19,12,3,4.89,1
U0257,40,Turismo,Sierra,270.83,3,3,5,3.96,1
U0258,48,Turismo,Selva,203.71,2,3,4,3.93,1
U0259,47,Negocios,Sierra,246.67,2,3,3,3.51,0
U0260,59,Turismo,Sierra,300.66,7,6,2,3.53,1
U0261,52,Turismo,Costa,412.86,4,14,4,4.54,1
U0262,24,Negocios,Costa,209.54,17,2,5,3.63,1
U0263,33,Familiar,Costa,317.48,6,11,1,5.0,1
U0264,43,Turismo,Costa,281.17,7,5,5,4.67,1
U0265,19,Familiar,Sierra,438.97,6,11,5,4.83,1
U0266,18,Familiar,Sierra,339.39,9,6,2,4.28,1
U0267,29,Negocios,Costa,169.02,4,3,2,3.58,0
U0268,22,Turismo,Selva,256.51,5,6,2,4.06,0
U0269,54,Turismo,Costa,408.61,19,11,2,5.0,1
U0270,49,Familiar,Costa,237.3,10,5,4,4.76,1
U0271,26,Negocios,Costa,253.53,18,9,3,4.5,1
U0272,58,Turismo,Costa,167.35,15,2,1,3.97,1
U0273,52,Turismo,Costa,452.86,1,13,5,5.0,1
U0274,36,Turismo,Costa,336.69,5,6,2,4.16,1
U0275,33,Negocios,Costa,501.09,5,12,3,4.58,0
U0276,20,Turismo,Selva,445.1,8,13,0,4.53,1
U0277,37,Familiar,Costa,422.74,15,11,1,5.0,1
U0278,41,Turismo,Costa,242.48,17,2,3,3.35,1
U0279,50,Turismo,Costa,291.88,19,11,2,4.29,1
U0280,41,Turismo,Sierra,343.45,13,11,2,3.99,1
U0281,28,Familiar,Costa,266.22,10,5,3,4.59,1
U0282,25,Negocios,Selva,427.77,17,9,2,4.14,1
U0283,53,Familiar,Sierra,225.93,5,2,3,3.95,1
U0284,55,Turismo,Sierra,433.11,18,12,5,4.26,1
U0285,57,Turismo,Sierra,205.25,17,3,3,4.04,1
U0286,37,Negocios,Costa,215.78,4,2,5,3.22,1
U0287,52,Negocios,Costa,386.81,7,12,4,4.72,1
U0288,42,Turismo,Costa,288.76,5,8,4,3.79,0
U0289,52,Turismo,Sierra,182.01,8,3,4,3.36,0
U0290,42,Familiar,Costa,261.46,8,2,2,4.18,1
U0291,46,Negocios,Costa,396.84,11,13,2,4.72,1
U0292,35,Turismo,Selva,285.6,9,7,5,3.99,1
U0293,63,Turismo,Costa,329.08,19,7,5,4.25,1
U0294,35,Negocios,Selva,350.4,19,11,1,4.06,1
U0295,19,Negocios,Sierra,227.97,9,3,3,3.56,0
U0296,52,Turismo,Costa,205.73,17,2,8,3.72,1
U0297,33,Turismo,Costa,363.19,16,11,3,4.53,1
U0298,58,Turismo,Costa,225.94,7,4,6,3.83,1
U0299,53,Turismo,Sierra,347.23,3,11,1,4.46,0
U0300,50,Turismo,Sierra,352.45,19,6,3,4.03,1
U0301,21,Negocios,Sierra,318.41,8,7,2,4.05,1
U0302,50,Turismo,Selva,186.44,5,4,1,3.46,0
U0303,31,Pareja,Sierra,378.51,6,10,2,3.94,0
U0304,38,Turismo,Costa,425.21,2,12,3,4.7,1
U0305,37,Turismo,Costa,171.15,19,6,4,4.2,1
U0306,25,Turismo,Selva,528.09,13,14,2,4.89,1
U0307,24,Familiar,Costa,167.18,6,3,2,3.74,0
U0308,20,Familiar,Costa,498.92,6,11,3,5.0,1
U0309,34,Turismo,Sierra,345.3,2,7,5,3.94,1
U0310,50,Pareja,Costa,382.51,5,13,3,4.83,1
U0311,29,Negocios,Selva,334.26,11,9,3,4.01,1
U0312,39,Negocios,Sierra,462.76,11,12,2,4.63,1
U0313,39,Familiar,Costa,293.65,14,7,1,4.28,1
U0314,63,Familiar,Selva,320.01,13,5,3,4.04,1
U0315,47,Negocios,Costa,286.73,8,7,4,3.65,1
U0316,55,Turismo,Costa,346.04,15,9,2,4.5,1
U0317,55,Negocios,Costa,397.48,12,9,1,4.56,1
U0318,62,Turismo,Costa,491.24,3,14,5,5.0,1
U0319,25,Familiar,Costa,348.15,5,11,2,4.83,1
U0320,44,Turismo,Costa,238.36,6,3,2,3.6,0
U0321,44,Turismo,Costa,358.34,2,9,5,4.66,0
U0322,51,Turismo,Costa,259.95,8,7,1,4.37,1
U0323,38,Negocios,Sierra,147.13,5,3,3,3.21,0
U0324,47,Turismo,Selva,97.87,17,2,6,3.46,1
U0325,50,Turismo,Costa,290.81,2,7,4,4.39,1
U0326,45,Pareja,Costa,458.37,11,14,6,4.68,1
U0327,64,Familiar,Costa,352.98,4,8,0,4.52,0
U0328,50,Negocios,Costa,435.43,11,11,3,4.78,1
U0329,22,Familiar,Sierra,262.62,9,6,5,3.67,1
U0330,36,Familiar,Sierra,390.26,6,11,3,4.3,1
U0331,21,Familiar,Costa,312.04,2,9,4,4.28,0
U0332,52,Turismo,Costa,420.99,15,12,1,4.1,1
U0333,34,Turismo,Costa,509.49,5,14,7,5.0,1
U0334,61,Turismo,Sierra,443.91,12,13,2,3.94,1
U0335,45,Negocios,Costa,430.36,13,10,4,4.66,1
U0336,47,Negocios,Selva,308.68,17,5,4,4.11,1
U0337,46,Negocios,Sierra,400.64,4,8,1,4.11,0
U0338,63,Turismo,Costa,356.43,10,9,3,4.16,1
U0339,23,Familiar,Sierra,434.45,1,14,3,4.94,1
U0340,52,Turismo,Selva,336.6,11,7,6,4.02,1
U0341,58,Negocios,Sierra,198.01,16,3,4,3.85,1
U0342,54,Pareja,Costa,357.25,11,8,3,3.53,1
U0343,41,Pareja,Costa,427.93,9,14,3,4.48,1
U0344,46,Familiar,Selva,330.77,2,10,3,4.63,1
U0345,63,Pareja,Sierra,344.14,7,6,3,4.0,1
U0346,48,Turismo,Sierra,166.03,19,3,4,3.71,1
U0347,52,Pareja,Selva,312.21,18,5,3,3.95,1
U0348,50,Negocios,Selva,268.18,7,4,1,3.7,0
U0349,38,Turismo,Selva,265.81,9,5,4,3.69,1
U0350,49,Negocios,Costa,299.78,12,11,5,5.0,1
U0351,40,Negocios,Sierra,402.04,3,8,5,4.66,1
U0352,50,Negocios,Sierra,347.67,16,11,3,4.39,1
U0353,20,Turismo,Sierra,397.63,7,9,3,4.27,1
U0354,35,Familiar,Sierra,159.89,5,2,5,3.88,1
U0355,42,Turismo,Costa,422.51,7,14,3,4.99,1
U0356,59,Negocios,Sierra,383.4,19,9,2,4.34,1
U0357,48,Familiar,Sierra,310.24,17,6,3,4.0,1
U0358,20,Turismo,Costa,381.59,16,13,1,5.0,1
U0359,57,Turismo,Costa,399.59,19,8,4,4.47,1
U0360,63,Turismo,Costa,406.33,18,12,5,5.0,1
U0361,41,Turismo,Costa,420.08,19,12,3,4.7,1
U0362,49,Turismo,Costa,179.58,4,2,3,3.59,1
U0363,64,Pareja,Costa,161.52,1,3,1,4.09,1
U0364,39,Turismo,Sierra,231.2,4,2,2,3.65,0
U0365,40,Turismo,Sierra,297.79,4,6,2,3.94,1
U0366,19,Familiar,Sierra,265.28,9,7,6,3.82,1
U0367,44,Familiar,Selva,441.62,8,11,5,4.93,1
U0368,59,Negocios,Costa,374.93,2,10,4,4.3,0
U0369,19,Negocios,Costa,353.79,6,9,6,4.22,1
U0370,43,Negocios,Selva,416.58,11,8,4,4.09,1
U0371,34,Turismo,Costa,358.45,4,13,1,4.7,0
U0372,57,Turismo,Selva,202.25,14,6,6,3.24,1
U0373,50,Negocios,Selva,169.08,9,4,2,3.47,1
U0374,26,Pareja,Sierra,390.37,2,10,2,4.57,1
U0375,60,Turismo,Selva,443.12,1,14,3,4.21,0
U0376,56,Negocios,Costa,269.34,4,6,5,4.09,1
U0377,46,Turismo,Costa,191.76,12,4,3,3.59,1
U0378,59,Turismo,Sierra,322.14,5,4,3,3.72,1
U0379,43,Negocios,Costa,338.93,9,4,1,4.57,0
U0380,52,Turismo,Selva,350.48,4,7,2,3.56,0
U0381,42,Familiar,Costa,119.07,16,2,3,4.07,1
U0382,41,Turismo,Sierra,392.28,2,12,1,4.24,0
U0383,30,Turismo,Sierra,302.47,16,5,1,3.7,1
U0384,24,Turismo,Sierra,458.78,16,14,4,4.28,1
U0385,53,Negocios,Costa,395.08,11,9,2,4.67,1
U0386,62,Negocios,Costa,301.27,1,4,4,3.95,0
U0387,37,Turismo,Selva,378.67,15,6,4,3.96,1
U0388,18,Negocios,Costa,183.91,4,3,1,3.75,1
U0389,25,Negocios,Selva,220.72,18,3,3,3.54,1
U0390,63,Familiar,Sierra,394.59,17,12,3,4.09,1
U0391,33,Pareja,Sierra,361.03,7,14,1,4.27,0
U0392,31,Familiar,Sierra,362.83,18,8,3,4.69,1
U0393,29,Familiar,Costa,422.58,13,11,2,4.44,1
U0394,40,Negocios,Sierra,211.54,10,4,5,3.3,1
U0395,32,Pareja,Selva,203.41,1,6,5,3.58,0
U0396,45,Negocios,Costa,219.67,2,4,6,3.62,0
U0397,51,Pareja,Selva,342.09,17,7,3,4.03,1
U0398,19,Pareja,Costa,527.93,3,14,2,4.63,0
U0399,49,Familiar,Costa,358.78,17,11,1,4.65,1
U0400,40,Pareja,Costa,294.26,12,4,2,3.97,1
U0401,39,Turismo,Selva,381.1,12,9,1,4.41,1
U0402,42,Turismo,Costa,237.32,10,3,3,4.2,1
U0403,39,Turismo,Selva,174.2,7,4,4,3.47,1
U0404,39,Turismo,Selva,287.47,10,9,4,4.59,1
U0405,59,Negocios,Costa,308.43,18,9,1,4.21,1
U0406,23,Turismo,Costa,178.12,6,2,1,3.9,1
U0407,32,Pareja,Sierra,440.01,7,9,5,4.91,1
U0408,60,Negocios,Costa,361.3,17,11,3,4.51,1
U0409,54,Familiar,Sierra,255.22,12,3,0,3.55,1
U0410,50,Pareja,Costa,415.61,17,13,8,4.71,1
U0411,25,Pareja,Costa,351.39,18,8,2,4.12,1
U0412,61,Pareja,Sierra,302.38,14,7,5,3.87,1
U0413,61,Turismo,Costa,225.51,11,3,3,4.4,1
U0414,22,Pareja,Costa,301.8,2,6,2,3.74,0
U0415,56,Familiar,Costa,315.28,1,8,7,4.62,1
U0416,21,Negocios,Costa,368.7,11,9,0,4.12,1
U0417,23,Turismo,Sierra,300.57,2,4,3,3.71,1
U0418,62,Familiar,Selva,156.73,16,2,4,3.94,1
U0419,49,Negocios,Costa,520.36,3,14,4,5.0,1
U0420,47,Turismo,Sierra,314.49,1,8,4,3.96,0
U0421,64,Turismo,Sierra,442.52,8,14,8,4.39,1
U0422,52,Negocios,Costa,318.29,19,6,4,4.23,1
U0423,57,Turismo,Costa,266.26,1,6,2,4.54,1
U0424,33,Familiar,Selva,343.71,5,8,1,4.12,1
U0425,30,Turismo,Sierra,205.73,1,2,2,4.08,0
U0426,59,Negocios,Sierra,245.8,11,9,0,4.3,0
U0427,47,Negocios,Sierra,459.73,9,13,4,4.98,1
U0428,36,Turismo,Costa,322.36,5,11,3,4.49,1
U0429,34,Pareja,Sierra,215.07,2,6,1,4.08,0
U0430,36,Negocios,Sierra,368.3,13,9,3,3.88,1
U0431,45,Turismo,Sierra,421.24,18,11,6,4.19,1
U0432,43,Negocios,Costa,454.66,12,11,4,4.89,1
U0433,54,Turismo,Costa,228.85,14,6,1,4.05,1
U0434,43,Familiar,Costa,401.78,5,13,1,4.91,1
U0435,40,Familiar,Selva,350.97,10,8,3,3.65,0
U0436,26,Negocios,Costa,455.62,2,11,3,4.53,0
U0437,29,Turismo,Costa,248.49,4,4,7,3.54,1
U0438,18,Negocios,Costa,172.76,12,3,5,3.84,1
U0439,18,Turismo,Costa,380.85,11,7,7,4.25,1
U0440,64,Turismo,Sierra,270.2,4,6,3,3.65,1
U0441,51,Negocios,Sierra,360.63,11,10,2,5.0,1
U0442,49,Turismo,Sierra,322.62,9,11,4,4.51,1
U0443,42,Turismo,Costa,297.3,10,5,2,4.36,1
U0444,57,Pareja,Sierra,459.26,6,12,6,5.0,1
